surname,rank,points,competition,event,score
sebrle,1,8217,Decastar,one_hundred_meters,11.04
sebrle,1,8217,Decastar,long_jump,7.58
sebrle,1,8217,Decastar,shot_put,14.83
sebrle,1,8217,Decastar,high_jump,2.07
sebrle,1,8217,Decastar,four_hundred_meters,49.81
sebrle,1,8217,Decastar,hurdles_one_hundred_meters,14.69
sebrle,1,8217,Decastar,discus,43.75
sebrle,1,8217,Decastar,pole_vault,5.02
sebrle,1,8217,Decastar,javeline,63.19
sebrle,1,8217,Decastar,fifteen_hundred_meters,291.7
clay,2,8122,Decastar,one_hundred_meters,10.76
clay,2,8122,Decastar,long_jump,7.4
clay,2,8122,Decastar,shot_put,14.26
clay,2,8122,Decastar,high_jump,1.86
clay,2,8122,Decastar,four_hundred_meters,49.37
clay,2,8122,Decastar,hurdles_one_hundred_meters,14.05
clay,2,8122,Decastar,discus,50.72
clay,2,8122,Decastar,pole_vault,4.92
clay,2,8122,Decastar,javeline,60.15
clay,2,8122,Decastar,fifteen_hundred_meters,301.5
karpov,3,8099,Decastar,one_hundred_meters,11.02
karpov,3,8099,Decastar,long_jump,7.3
karpov,3,8099,Decastar,shot_put,14.77
karpov,3,8099,Decastar,high_jump,2.04
karpov,3,8099,Decastar,four_hundred_meters,48.37
karpov,3,8099,Decastar,hurdles_one_hundred_meters,14.09
karpov,3,8099,Decastar,discus,48.95
karpov,3,8099,Decastar,pole_vault,4.92
karpov,3,8099,Decastar,javeline,50.31
karpov,3,8099,Decastar,fifteen_hundred_meters,300.2
bernard,4,8067,Decastar,one_hundred_meters,11.02
bernard,4,8067,Decastar,long_jump,7.23
bernard,4,8067,Decastar,shot_put,14.25
bernard,4,8067,Decastar,high_jump,1.92
bernard,4,8067,Decastar,four_hundred_meters,48.93
bernard,4,8067,Decastar,hurdles_one_hundred_meters,14.99
bernard,4,8067,Decastar,discus,40.87
bernard,4,8067,Decastar,pole_vault,5.32
bernard,4,8067,Decastar,javeline,62.77
bernard,4,8067,Decastar,fifteen_hundred_meters,280.1
yurkov,5,8036,Decastar,one_hundred_meters,11.34
yurkov,5,8036,Decastar,long_jump,7.09
yurkov,5,8036,Decastar,shot_put,15.19
yurkov,5,8036,Decastar,high_jump,2.1
yurkov,5,8036,Decastar,four_hundred_meters,50.42
yurkov,5,8036,Decastar,hurdles_one_hundred_meters,15.31
yurkov,5,8036,Decastar,discus,46.26
yurkov,5,8036,Decastar,pole_vault,4.72
yurkov,5,8036,Decastar,javeline,63.44
yurkov,5,8036,Decastar,fifteen_hundred_meters,276.4
warners,6,8030,Decastar,one_hundred_meters,11.11
warners,6,8030,Decastar,long_jump,7.6
