record_id,date,time,latitude,longitude,east_or_west_hemisphere
1083001,1975-10-15T00:00:00Z, 14:00:00,-45.916666666666664,165.4,Eastern Hemisphere
1084001,1975-11-03T00:00:00Z, 13:10:00,-35.53333333333333,125,Eastern Hemisphere
1084002,1975-11-04T00:00:00Z, 14:20:00,-37.666666666666664,132.25,Eastern Hemisphere
1084003,1975-11-08T00:00:00Z, 16:15:00,-40,162,Eastern Hemisphere
1086001,1975-11-16T00:00:00Z, 12:30:00,-36.166666666666664,174.91666666666666,Eastern Hemisphere
1086002,1975-11-16T00:00:00Z, 15:30:00,-35.416666666666664,174.56666666666666,Eastern Hemisphere
1086003,1975-11-17T00:00:00Z, 14:30:00,-35.25,168,Eastern Hemisphere
1086004,1975-11-17T00:00:00Z, 16:30:00,-35.3,167.33333333333334,Eastern Hemisphere
1086005,1975-11-18T00:00:00Z, 14:30:00,-36.5,161,Eastern Hemisphere
1086006,1975-11-18T00:00:00Z, 16:30:00,-36.333333333333336,160.5,Eastern Hemisphere
1086007,1975-11-20T00:00:00Z, 12:00:00,-39.18333333333333,146.28333333333333,Eastern Hemisphere
1087002,1975-11-23T00:00:00Z, 14:30:00,-39.666666666666664,154.16666666666666,Eastern Hemisphere
1087003,1975-11-23T00:00:00Z, 16:00:00,-39.666666666666664,155,Eastern Hemisphere
1087004,1975-11-24T00:00:00Z, 12:00:00,-39.85,161.93333333333334,Eastern Hemisphere
1087005,1975-11-24T00:00:00Z, 14:00:00,-39.93333333333333,162.08333333333334,Eastern Hemisphere
1087006,1975-11-24T00:00:00Z, 16:00:00,-40,164,Eastern Hemisphere
1087008,1975-11-25T00:00:00Z, 10:00:00,-40.1,167.5,Eastern Hemisphere
1087009,1975-11-25T00:00:00Z, 13:00:00,-40.166666666666664,168.66666666666666,Eastern Hemisphere
1087010,1975-11-25T00:00:00Z, 14:00:00,-40.2,169.08333333333334,Eastern Hemisphere
1087011,1975-11-25T00:00:00Z, 15:20:00,-40.21666666666667,169.5,Eastern Hemisphere
1088001,1975-11-09T00:00:00Z, 16:50:00,-33,152,Eastern Hemisphere
1088002,1975-11-09T00:00:00Z, 18:25:00,-33,152,Eastern Hemisphere
1088004,1975-11-10T00:00:00Z, 07:15:00,-35,154,Eastern Hemisphere
1088005,1975-11-10T00:00:00Z, 10:45:00,-36,154,Eastern Hemisphere
1088006,1975-11-10T00:00:00Z, 16:05:00,-37,157,Eastern Hemisphere
1088007,1975-11-11T00:00:00Z, 06:25:00,-39,158,Eastern Hemisphere
1088008,1975-11-11T00:00:00Z, 11:35:00,-40,158,Eastern Hemisphere
1088009,1975-11-11T00:00:00Z, 15:00:00,-40,159,Eastern Hemisphere
1088010,1975-11-11T00:00:00Z, 16:10:00,-40,159,Eastern Hemisphere
1088011,1975-11-11T00:00:00Z, 18:35:00,-41,160,Eastern Hemisphere
1088012,1975-11-12T00:00:00Z, 06:05:00,-42,161,Eastern Hemisphere
1088013,1975-11-12T00:00:00Z, 07:25:00,-42,162,Eastern Hemisphere
1088014,1975-11-12T00:00:00Z, 10:30:00,-43,162,Eastern Hemisphere
1088015,1975-11-12T00:00:00Z, 17:30:00,-44,164,Eastern Hemisphere
1088016,1975-11-13T00:00:00Z, 06:30:00,-46,166,Eastern Hemisphere
1088017,1975-11-13T00:00:00Z, 10:30:00,-46,167,Eastern Hemisphere
1092001,1975-10-26T00:00:00Z, 16:05:00,-36,176,Eastern Hemisphere
1092002,1975-10-27T00:00:00Z, 08:55:00,-34,174,Eastern Hemisphere
1092003,1975-10-27T00:00:00Z, 11:50:00,-34,173,Eastern Hemisphere
1092004,1975-10-27T00:00:00Z, 11:25:00,-34,173,Eastern Hemisphere
1092005,1975-10-27T00:00:00Z, 16:05:00,-34,172,Eastern Hemisphere
1092006,1975-10-28T00:00:00Z, 05:30:00,-34,169,Eastern Hemisphere
1092007,1975-10-28T00:00:00Z, 08:55:00,-34,169,Eastern Hemisphere
1092008,1975-10-28T00:00:00Z, 10:55:00,-34,168,Eastern Hemisphere
1092009,1975-10-28T00:00:00Z, 12:05:00,-34,168,Eastern Hemisphere
1092010,1975-10-28T00:00:00Z, 16:10:00,-34,167,Eastern Hemisphere
1092011,1975-10-28T00:00:00Z, 19:20:00,-34,167,Eastern Hemisphere
1092012,1975-10-29T00:00:00Z, 06:30:00,-34,164,Eastern Hemisphere
1092013,1975-10-29T00:00:00Z, 09:40:00,-34,164,Eastern Hemisphere
1092014,1975-10-29T00:00:00Z, 11:40:00,-34,163,Eastern Hemisphere
1092015,1975-10-29T00:00:00Z, 16:15:00,-33,162,Eastern Hemisphere
1092016,1975-10-30T00:00:00Z, 05:55:00,-34,159,Eastern Hemisphere
1092017,1975-10-30T00:00:00Z, 07:30:00,-33,159,Eastern Hemisphere
1092018,1975-10-30T00:00:00Z, 10:36:00,-33,158,Eastern Hemisphere
1092020,1975-10-30T00:00:00Z, 16:10:00,-33,157,Eastern Hemisphere
1092021,1975-10-30T00:00:00Z, 18:00:00,-33,156,Eastern Hemisphere
1092022,1975-10-31T00:00:00Z, 06:20:00,-33,154,Eastern Hemisphere
1092023,1975-10-31T00:00:00Z, 10:35:00,-33,153,Eastern Hemisphere
1092024,1975-10-31T00:00:00Z, 16:10:00,-33,152,Eastern Hemisphere
1100001,1976-01-21T00:00:00Z, 12:50:00,-45,170,Eastern Hemisphere
1100002,1976-01-24T00:00:00Z, 13:20:00,-45,170,Eastern Hemisphere
1100003,1976-01-24T00:00:00Z, 15:30:00,-46,170,Eastern Hemisphere
1100004,1976-01-24T00:00:00Z, 16:00:00,-46,170,Eastern Hemisphere
1100005,1976-01-24T00:00:00Z, 17:00:00,-46,169,Eastern Hemisphere
1100006,1976-01-24T00:00:00Z, 18:00:00,-46,169,Eastern Hemisphere
1100007,1976-01-24T00:00:00Z, 19:30:00,-46,169,Eastern Hemisphere
1100008,1976-01-24T00:00:00Z, 21:00:00,-46,168,Eastern Hemisphere
1100009,1976-01-25T00:00:00Z, 07:30:00,-45,164,Eastern Hemisphere
1100010,1976-01-25T00:00:00Z, 08:00:00,-45,164,Eastern Hemisphere
1100011,1976-01-25T00:00:00Z, 09:00:00,-45,164,Eastern Hemisphere
1100012,1976-01-25T00:00:00Z, 11:00:00,-45,163,Eastern Hemisphere
1100013,1976-01-25T00:00:00Z, 12:00:00,-45,163,Eastern Hemisphere
1100014,1976-01-25T00:00:00Z, 15:00:00,-45,162,Eastern Hemisphere
1100015,1976-01-25T00:00:00Z, 15:45:00,-44,162,Eastern Hemisphere
1100016,1976-01-25T00:00:00Z, 16:00:00,-44,162,Eastern Hemisphere
1100017,1976-01-25T00:00:00Z, 18:30:00,-44,161,Eastern Hemisphere
